S_values,z_values
0.916016,0.840706
0.917294,0.841984
0.921875,0.846518
0.918643,0.843325
0.919922,0.844588
0.9212,0.845852
0.925781,0.850303
0.92255,0.847172
0.923828,0.84841
0.925107,0.849649
0.929688,0.854068
0.926456,0.850953
0.927734,0.852185
0.929013,0.853418
0.933594,0.857889
0.930362,0.854728
0.931641,0.855978
0.932919,0.857229
0.9375,0.861783
0.934268,0.858561
0.935547,0.859836
0.936825,0.86111
0.941406,0.865669
0.938175,0.862454
0.939453,0.863726
0.940732,0.864998
0.945312,0.869392
0.942081,0.866312
0.943359,0.86753
0.944638,0.868749
0.949219,0.872771
0.945987,0.869975
0.947266,0.871081
0.948544,0.872188
0.953125,0.875683
0.949893,0.873274
0.951172,0.874227
0.95245,0.875181
0.957031,0.878158
0.9538,0.876111
0.955078,0.876921
0.956357,0.877731
0.960938,0.880464
0.957706,0.878556
0.958984,0.879311
0.960263,0.880066
0.964844,0.882995
0.961612,0.880901
0.962891,0.88173
0.964169,0.882558
0.96875,0.885986
0.965518,0.883512
0.966797,0.884491
0.968075,0.88547
0.972656,0.889435
0.969425,0.886582
0.970703,0.887711
0.971982,0.888839
0.976562,0.893199
0.973331,0.890085
0.974609,0.891317
0.975888,0.892549
0.980469,0.897096
0.977237,0.893872
0.978516,0.895148
0.979794,0.896423
0.984375,0.900982
0.981143,0.897767
0.982422,0.899039
0.9837,0.900311
0.988281,0.9048
0.98505,0.901641
0.986328,0.902891
0.987607,0.904141
0.992188,0.908586
0.988956,0.905454
0.990234,0.906693
0.991513,0.907933
0.996094,0.912414
0.992862,0.909247
0.994141,0.9105
0.995419,0.911753
1,0.916307
0.996768,0.913086
0.998047,0.91436
0.999325,0.915635
