S_values,r_values
0.943359,0.913693
0.944638,0.912933
0.949219,0.910345
0.945987,0.912154
0.947266,0.911438
0.948544,0.910722
0.953125,0.908303
0.949893,0.909992
0.951172,0.909324
0.95245,0.908656
0.957031,0.906414
0.9538,0.907977
0.955078,0.907359
0.956357,0.90674
0.960938,0.904682
0.957706,0.906115
0.958984,0.905548
0.960263,0.904981
0.964844,0.903113
0.961612,0.904411
0.962891,0.903898
0.964169,0.903384
0.96875,0.901711
0.965518,0.902871
0.966797,0.902412
0.968075,0.901953
0.972656,0.900477
0.969425,0.901498
0.970703,0.901094
0.971982,0.90069
0.976562,0.899414
0.973331,0.900294
0.974609,0.899946
0.975888,0.899598
0.980469,0.898522
0.977237,0.89926
0.978516,0.898968
0.979794,0.898676
0.984375,0.8978
0.981143,0.898397
0.982422,0.898161
0.9837,0.897925
0.988281,0.897246
0.98505,0.897704
0.986328,0.897523
0.987607,0.897341
0.992188,0.896856
0.988956,0.897178
0.990234,0.897051
0.991513,0.896923
0.996094,0.896626
0.992862,0.896816
0.994141,0.896741
0.995419,0.896666
1,0.896551
0.996768,0.896613
0.998047,0.896588
0.999325,0.896564
